"""Text Description""","""Declare Constraint"""
"""Every student must participate in at least one field trip to enrich their educational experience beyond the classroom.""","""AtLeastOne(AttendFieldTrip)"""
"""All employees must participate in fire safety training at least once per year to maintain workplace safety.""","""AtLeastOne(AttendFireSafetyTraining)"""
"""Throughout her studies, Sarah must have attended at least one guest lecture per semester to gain diverse insights.""","""AtLeastOne(AttendGuestLecture)"""
"""Attending the industry conference is highly recommended for professional development at least once every quarter.""","""AtLeastOne(AttendIndustryConference)"""
"""Attending at least one networking event is essential.""","""AtLeastOne(AttendNetworkingEvent)"""
"""The annual performance appraisal meeting with the supervisor is mandatory for all employees at least once a year.""","""AtLeastOne(AttendPerformanceAppraisal)"""
"""Attending at least one seminar on workplace productivity is needed  for improving time management skills.""","""AtLeastOne(AttendProductivitySeminar)"""
"""The weekly progress report meeting should be attended by all team members at least once a week.""","""AtLeastOne(AttendWeeklyMeeting)"""
"""Testing should be carried out at least once.""","""AtLeastOne(CarryOuttTesting)"""
"""Checking fire extinguishers for proper functionality should happen at least once every six months.""","""AtLeastOne(CheckFireExtinguishers)"""
"""Assignments must be completed at least once.""","""AtLeastOne(CompleteAssignments)"""
"""Completing the customer satisfaction survey is required for all clients at least once.""","""AtLeastOne(CompleteCustomerSurvey)"""
"""An internship is a mandatory part of the curriculum and must be completed at least once during the program.""","""AtLeastOne(CompleteInternship)"""
"""Completing at least one internship is mandatory.""","""AtLeastOne(CompleteInternship)"""
"""In their quest for knowledge, the researchers must conduct at least one experiment per week to test their hypotheses.""","""AtLeastOne(ConductExperiment)"""
"""Inspections must be conducted at least once.""","""AtLeastOne(ConductInspections)"""
"""Conducting employee performance reviews should occur at least once per year to provide feedback and set goals.""","""AtLeastOne(ConductPerformanceReviews)"""
"""Reviews must take place at least once.""","""AtLeastOne(ConductReviews)"""
"""Surveys need to be conducted at least once.""","""AtLeastOne(ConductSurveys)"""
"""Training sessions need to occur at least once.""","""AtLeastOne(ConductTrainingSessions)"""
"""Appointments must be confirmed at least once.""","""AtLeastOne(ConfirmAppointments)"""
"""Presentations need to be delivered at least once.""","""AtLeastOne(DeliverPresentations)"""
"""Participating in community service activities is a graduation requirement and must be fulfilled at least once during the program.""","""AtLeastOne(EngageInCommunityService)"""
"""Over the weekend, Mark has to explore at least one new hiking trail to experience nature differently.""","""AtLeastOne(ExploreNewHikingTrail)"""
"""A meeting should take place at least once.""","""AtLeastOne(HoldMeeting)"""
"""Holding team meetings should take place at least once a week to discuss project updates and address concerns.""","""AtLeastOne(HoldTeamMeetings)"""
"""Hosting training sessions for new employees should take place at least once per quarter to onboard new staff effectively.""","""AtLeastOne(HostTrainingSessions)"""
"""During her time abroad, Maria has to immerse herself in at least one local tradition to better understand the culture.""","""AtLeastOne(ImmerseInLocalTradition)"""
"""An inspection of the safety equipment must occur at least once every month to ensure workplace compliance.""","""AtLeastOne(InspectSafetyEquipment)"""
"""During her travels, Jane has to learn at least one local phrase in every country she visited.""","""AtLeastOne(LearnLocalPhrase)"""
"""Throughout his career, John has to mentor at least one junior colleague to pass on his knowledge and experience.""","""AtLeastOne(MentorJuniorColleague)"""
"""Across his career, Tom must participate in at least one charity event annually to give back to the community.""","""AtLeastOne(ParticipateCharityEvent)"""
"""Participating in one extracurricular activity is mandatory.""","""AtLeastOne(ParticipateExtracurricular)"""
"""Performing inventory audits should be conducted at least once per quarter to maintain accurate stock records.""","""AtLeastOne(PerformInventoryAudits)"""
"""Maintenance tasks need to be performed at least once.""","""AtLeastOne(PerformMaintenance)"""
"""Conducting routine maintenance checks should be performed at least once every week to ensure optimal equipment performance.""","""AtLeastOne(PerformMaintenanceChecks)"""
"""As part of his personal growth journey, Michael must practice at least one act of kindness daily to spread positivity.""","""AtLeastOne(PracticeActOfKindness)"""
"""Processing incoming orders must occur at least once every business day.""","""AtLeastOne(ProcessIncomingOrders)"""
"""Invoices should be processed at least once.""","""AtLeastOne(ProcessInvoices)"""
"""Reviewing and updating company policies must occur at least once a year to ensure compliance with regulations.""","""AtLeastOne(ReviewCompanyPolicies)"""
"""Reviewing financial reports needs to happen at least once a month to track budgetary progress.""","""AtLeastOne(ReviewFinancialReports)"""
"""Experiments must be run at least once.""","""AtLeastOne(RunExperiments)"""
"""As part of his fitness routine, Alex must run at least one marathon every year to challenge himself.""","""AtLeastOne(RunMarathon)"""
"""An appointment must be scheduled at least once.""","""AtLeastOne(ScheduleAppointment)"""
"""Submitting at least one research paper to a peer-reviewed journal is necessary for advancing academic careers.""","""AtLeastOne(SubmitResearchPaper)"""
"""Students must submit their research proposal to the department committee at least once.""","""AtLeastOne(SubmitResearchProposal)"""
"""Taking the advanced programming course is mandatory for all computer science majors at least once in their studies.""","""AtLeastOne(TakeAdvancedProgramming)"""
"""In her free time, Emily has to try at least one new hobby each month to explore her interests.""","""AtLeastOne(TryNewHobby)"""
"""All employees are expected to undergo diversity training at least once.""","""AtLeastOne(UndergoDiversityTraining)"""
"""Updating antivirus definitions must occur at least once a week to stay protected against emerging threats.""","""AtLeastOne(UpdateAntivirusDefinitions)"""
"""A minimum of one volunteer experience is required.""","""AtLeastOne(VolunteerExperience)"""
"""Software updates should be installed at least once a week.""","""AtLeastOne(WeeklySoftwareUpdates)"""
"""Accessing the confidential database is limited and should occur at most once per employee per day.""","""AtMostOne(AccessDatabase)"""
"""Accessing the restricted server privileges is restricted and should occur at most once during the workweek.""","""AtMostOne(AccessRestrictedServer)"""
"""Adjusting your work schedule is acceptable, but it should not occur more than once per calendar month.""","""AtMostOne(AdjustWorkSchedule)"""
"""Applying for an extension on project deadlines is permitted, but it can only occur at most once per semester.""","""AtMostOne(ApplyForExtension)"""
"""Applying for a scholarship is encouraged, but it can only occur at most once per academic year to ensure fairness.""","""AtMostOne(ApplyScholarship)"""
"""Borrowing equipment from the company for personal use is permitted, but it should happen not more than once a month.""","""AtMostOne(BorrowCompanyEquipment)"""
"""Cancelling appointments with clients is allowed, but it should happen not more than once a quarter.""","""AtMostOne(CancelClientAppointment)"""
"""Changing your major is allowed, but it can only occur at most once throughout your academic journey.""","""AtMostOne(ChangeMajor)"""
"""Completing the advanced elective course is optional and can be done at most once during the academic year.""","""AtMostOne(CompleteAdvancedCourse)"""
"""Declaring a minor is an optional choice, but it can only occur at most once during the undergraduate program.""","""AtMostOne(DeclareMinor)"""
"""Deleting sensitive data from the database should only be done if absolutely necessary and may occur at most once.""","""AtMostOne(DeleteSensitiveData)"""
"""Disabling automatic updates should be avoided except in critical cases and may occur at most once.""","""AtMostOne(DisableAutomaticUpdates)"""
"""Dropping a course is allowed, but it can only occur at most once during the designated drop/add period.""","""AtMostOne(DropCourse)"""
"""Enrolling in an independent study course is an option, but it can only occur at most once per semester.""","""AtMostOne(EnrollIndependentStudy)"""
"""Enrolling in the special topics seminar is limited to at most once per academic term due to space constraints.""","""AtMostOne(EnrollSpecialSeminar)"""
